Domaine,Question,RÃ©ponse correcte
Python (POO),Quelle est la différence entre une méthode de classe et une méthode statique en Python ?,Une méthode de classe a accés à la classe elle-même via le mot-clé cls tandis qu'une méthode statique n'a pas accés à la classe
Python (POO),Quelle est la méthode spéciale utilisée pour la surcharge d'opérateur en Python ?,__add__()
Python (POO),Qu'est-ce que l'encapsulation en Python ?,Le regroupement de données (attributs) et de méthodes (fonctions) dans une seule unité (objet)
Python (POO),Qu'est-ce que l'héritage multiple en Python ?,Le fait qu'une classe puisse hériter de plusieurs classes parentes
Java (POO),Qu'est-ce qu'une méthode statique en Java ?,Une méthode qui appartient à la classe plutôt qu'à une instance particuliére de la classe
Java (POO),Comment dÃ©clare-t-on une variable de classe en Java ?,"En utilisant le mot-clé ""static"""
Java (POO),Quelle est la différence entre une classe abstraite et une interface en Java ?,Une classe abstraite peut avoir des méthodes implémentées tandis qu'une interface ne peut pas avoir d'implémentation
Java (POO),Qu'est-ce qu'une classe interne en Java ?,Une classe définie à l'intérieur d'une autre classe
Java (POO),Qu'est-ce que le polymorphisme en Java ?,La capacité d'un objet à prendre de multiples formes
Base de données,Qu'est-ce qu'un index en base de données ?,Une structure de données utilisée pour améliorer les performances de recherche dans une base de données
Base de données,Quelle est la différence entre une clé primaire et une clé étrangére en base de données ?,Une clé primaire est une colonne qui identifie de maniére unique chaque ligne d'une table tandis qu'une clé étrangére est une colonne qui établit une relation entre deux tables
Base de données,Quelle est la commande SQL pour insérer une nouvelle ligne dans une table ?,INSERT INTO table_name (column1 column2 ...) VALUES (value1 value2 ...)
Base de données,Quelle est la commande SQL pour mettre à jour une ligne dans une table ?,UPDATE table_name SET column1 = value1 column2 = value2 ... WHERE condition
Base de données,Quelle est la commande SQL pour sélectionner uniquement les lignes distinctes d'une table ?,SELECT DISTINCT column1 column2 ... FROM table_name
PL/SQL,Quelle est la commande PL/SQL pour ouvrir un curseur ?,OPEN cursor_name;
PL/SQL,Quelle est la différence entre un curseur implicite et explicite en PL/SQL ?,Un curseur implicite est automatiquement défini par Oracle tandis qu'un curseur explicite est défini par le développeur
PL/SQL,Comment dÃ©clare-t-on un curseur explicite en PL/SQL ?,DECLARE cursor_name CURSOR FOR SELECT column1 column2 FROM table_name;
PL/SQL,Quelle est la commande PL/SQL pour récupérer la prochaine ligne d'un curseur ?,FETCH cursor_name INTO variable1 variable2 ...
PL/SQL,Quelle est la commande PL/SQL pour fermer un curseur ?,CLOSE cursor_name;
IA,Quelle est la différence entre l'apprentissage supervisé et l'apprentissage non supervisé en IA ?,L'apprentissage supervisé utilise des données étiquetées pour entrainer un modéle tandis que l'apprentissage non supervisé utilise des données non étiquetées
IA,Qu'est-ce que l'apprentissage par renforcement en IA ?,Une méthode d'apprentissage  d'un agent apprend à optimiser ses actions en interagissant avec un environnement
IA,Quelle est la fonction d'activation utilisée dans les réseaux de neurones pour la classification binaire ?,La fonction sigmoïde
IA,Qu'est-ce que la propagation arriére (backpropagation) dans les réseaux de neurones ?,Un algorithme d'optimisation utilisé pour entrainer les réseaux de neurones en calculant les gradients par rapport aux poids du réseau
ML,Quelle est la différence entre la régression linéaire et la régression logistique ?,La régression linéaire est utilisée pour prédire des valeurs continues tandis que la régression logistique est utilisée pour la classification binaire
ML,Qu'est-ce qu'une validation croisée (cross-validation) en ML ?,Une technique pour évaluer les performances d'un modéle en divisant les donnés en ensembles d'apprentissage et de test multiples
ML,Quelle est la différence entre la descente de gradient stochastique et la descente de gradient classique ?,La descente de gradient stochastique met à jour les poids du modéle aprés chaque exemple de formation tandis que la descente de gradient classique le fait aprés avoir parcouru tous les exemples de formation
ML,Qu'est-ce que la régularisation en ML ?,Une technique utilisée pour prÃ©venir le surapprentissage en ajoutant une pénalité aux poids du modéle
DL,Qu'est-ce qu'un réseau de neurones convolutif (CNN) ?,Un type de rÃ©seau de neurones profonds souvent utilisé pour l'analyse d'images et de videos
DL,Quelle est la fonction d'activation utilisée dans la couche de sortie d'un réseau de neurones pour la classification multiclasse ?,La fonction softmax
DL,Quelle est la différence entre une couche dense et une couche convolutive dans un réseau de neurones ?,Une couche dense est entiérement connectée tandis qu'une couche convolutive partage ses poids sur une région locale de l'entrée
DL,Qu'est-ce que la normalisation par lots (batch normalization) dans les réseaux de neurones ?,Une technique utilisée pour accélérer l'entrainement des réseaux de neurones en normalisant les activations de chaque couche
DL,Qu'est-ce que le transfert d'apprentissage (transfer learning) dans les réseaux de neurones ?,Une technique à un modéle pré-entrainé est utilisé comme point de départ pour entrainer un nouveau modéle sur une tâche similaire
DL,Qu'est-ce que la génération d'adversaires (adversarial generation) dans les réseaux de neurones ?,Une technique à des exemples d'entrainement sont modifiés de maniére imperceptible pour tromper un modéle de réseau de neurones
Python niveau 1,Qu'est-ce qu'une instruction if en Python ?,Une instruction de controle de flux utilisée pour exécuter du code conditionnellement
Python niveau 1,Quelle est la différence entre une liste et un tuple en Python ?,Une liste est mutable (modifiable) tandis qu'un tuple est immuable (non modifiable)
Python niveau 1,Comment fait-on un commentaire en Python ?,"En utilisant le symbole ""#"" pour un commentaire sur une seule ligne ou en utilisant une chaine de caractéres entre trois guillemets pour un commentaire sur plusieurs lignes"
Python niveau 1,Quelle est la méthode pour supprimer un élément d'une liste en Python ?,remove()
Python niveau 1,"Quelle est la différence entre les opérateurs ""=="" et ""is"" en Python ?",#ERROR!
Python (POO),Qu'est-ce qu'une instance en Python ?,Une occurrence d'un objet défini par une classe
Python (POO),Quelle est la méthode spéciale utilisée pour la surcharge d'opérateur en Python ?,__add__()
Python (POO),Qu'est-ce que l'encapsulation en Python ?,Le regroupement de données (attributs) et de méthodes (fonctions) dans une seule unité (objet)
Python (POO),Qu'est-ce que l'héritage multiple en Python ?,Le fait qu'une classe puisse hériter de plusieurs classes parentes
Java (POO),Qu'est-ce qu'une méthode statique en Java ?,Une méthode qui appartient à la classe plutôt qu'à une instance particuliére de la classe
Java (POO),Comment déclare-t-on une variable de classe en Java ?,"En utilisant le mot-clé ""static"""
Java (POO),Qu'est-ce que le polymorphisme en Java ?,La capacité d'un objet à prendre de multiples formes
Java (POO),Qu'est-ce qu'une classe interne en Java ?,Une classe définie à l'intérieur d'une autre classe
Base de données,Qu'est-ce qu'un index en base de données ?,Une structure de données utilisée pour améliorer les performances de recherche dans une base de données
Base de données,Quelle est la différence entre une clé primaire et une clé étrangére en base de données ?,Une clé primaire est une colonne qui identifie de maniére unique chaque ligne d'une table tandis qu'une clé étrangére est une colonne qui établit une relation entre deux tables
Base de données,Quelle est la commande SQL pour insérer une nouvelle ligne dans une table ?,INSERT INTO table_name (column1 column2 ...) VALUES (value1 value2 ...)
Base de données,Quelle est la commande SQL pour mettre à jour une ligne dans une table ?,UPDATE table_name SET column1 = value1 column2 = value2 ... WHERE condition
PL/SQL,Quelle est la commande PL/SQL pour ouvrir un curseur ?,OPEN cursor_name;
PL/SQL,Quelle est la différence entre un curseur implicite et explicite en PL/SQL ?,Un curseur implicite est automatiquement défini par Oracle tandis qu'un curseur explicite est défini par le développeur
PL/SQL,Comment déclare-t-on un curseur explicite en PL/SQL ?,DECLARE cursor_name CURSOR FOR SELECT column1 column2 FROM table_name;
PL/SQL,Quelle est la commande PL/SQL pour récupérer la prochaine ligne d'un curseur ?,FETCH cursor_name INTO variable1 variable2 ...
PL/SQL,Quelle est la commande PL/SQL pour fermer un curseur ?,CLOSE cursor_name;
IA,Quelle est la différence entre l'apprentissage supervisé et l'apprentissage non supervisé en IA ?,L'apprentissage supervisé utilise des données étiquetées pour entrainer un modéle tandis que l'apprentissage non supervisé utilise des données non étiquetées
IA,Qu'est-ce que l'apprentissage par renforcement en IA ?,Une méthode d'apprentissage oÃ¹ un agent apprend Ã  optimiser ses actions en interagissant avec un environnement
IA,Quelle est la fonction d'activation utilisée dans les réseaux de neurones pour la classification binaire ?,La fonction sigmoïde
IA,Qu'est-ce que la propagation arriére (backpropagation) dans les réseaux de neurones ?,Un algorithme d'optimisation utilisé pour entrainer les réseaux de neurones en calculant les gradients par rapport aux poids du réseau
ML,Quelle est la différence entre la régression linéaire et la régression logistique ?,La régression linéaire est utilisée pour prédire des valeurs continues tandis que la régression logistique est utilisée pour la classification binaire
ML,Qu'est-ce qu'une validation croisée (cross-validation) en ML ?,Une technique pour évaluer les performances d'un modéle en divisant les données en ensembles d'apprentissage et de test multiples
ML,Quelle est la différence entre la descente de gradient stochastique et la descente de gradient classique ?,La descente de gradient stochastique met à jour les poids du modéle aprés
HTML,Qu'est-ce que HTML ?,HTML (HyperText Markup Language) est un langage de balisage utilisée pour créer la structure et le contenu d'une page Web.
HTML,Quelle est la balise utilisée pour définir un titre dans HTML ?,La balise <title>.
HTML,Quelle est la balise utilisée pour définir un paragraphe dans HTML ?,La balise <p>.
HTML,Quelle est la balise utilisée pour définir un lien hypertexte dans HTML ?,La balise <a>.
HTML,Quelle est la balise utilisée pour définir une liste non ordonnÃ©e dans HTML ?,La balise <ul>.
HTML,Quelle est la balise utilisée pour définir une image dans HTML ?,La balise <img>.
CSS,Qu'est-ce que CSS ?,CSS (Cascading Style Sheets) est un langage de feuille de style utilisée pour styliser la présentation d'une page Web écrite en HTML.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur du texte ?,La propriété color.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de fond d'un élément ?,La propriété background-color.
CSS,Quelle est la propriété CSS utilisée pour définir la taille de la police de caractéres ?,La propriété font-size.
CSS,Quelle est la propriété CSS utilisée pour définir la marge extérieure d'un élément ?,La propriété margin.
CSS,Quelle est la propriété CSS utilisée pour définir la largeur d'un élément ?,La propriété width.
JavaScript,Qu'est-ce que JavaScript ?,JavaScript est un langage de programmation de scripts utilisé pour rendre les pages Web interactives et dynamiques.
JavaScript,Quelle est la syntaxe pour déclarer une variable en JavaScript ?,En utilisant les mots-clés var let ou const suivis du nom de la variable.
JavaScript,Quelle est la méthode JavaScript utilisée pour sélectionner un élément par son identifiant ?,La méthode document.getElementById().
JavaScript,Quelle est la méthode JavaScript utilisée pour ajouter un élément à un élément HTML ?,La méthode addEventListener().
JavaScript,Quelle est la méthode JavaScript utilisée pour afficher une boite de dialogue avec un message ?,La méthode alert().
JavaScript,Quelle est la méthode JavaScript utilisée pour changer le contenu HTML d'un élément ?,La propriété innerHTML.
HTML,Quelle est la balise utilisée pour définir un formulaire dans HTML ?,La balise <form>.
HTML,Quelle est la balise utilisée pour définir un champ de saisie de texte dans HTML ?,"La balise <input> avec l'attribut type=""text""."
HTML,Quelle est la balise utilisée pour définir une liste ordonnée dans HTML ?,La balise <ol>.
HTML,Quelle est la balise utilisée pour définir une cellule de tableau dans HTML ?,La balise <td>.
HTML,Quelle est la balise utilisée pour définir un en-tête de tableau dans HTML ?,La balise <th>.
HTML,Quelle est la balise utilisée pour définir un lien vers une feuille de style externe dans HTML ?,La balise <link>.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de bordure d'un élément ?,
CSS,Quelle est la propriété CSS utilisée pour définir la taille de la bordure d'un élément ?,La propriété border-width.
CSS,Quelle est la propriété CSS utilisée pour définir la police de caractéres d'un élément ?,La propriété font-family.
CSS,Quelle est la propriété CSS utilisée pour aligner le texte à gauche dans un élément ?,La propriété text-align.
CSS,Quelle est la propriété CSS utilisée pour définir la visibilité d'un élément ?,La propriété display.
JavaScript,Quelle est la méthode JavaScript utilisée pour sélectionner tous les éléments d'une classe spécifique ?,La méthode document.querySelectorAll().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la valeur d'un champ de saisie de texte ?,La propriété value de l'Ã©lÃ©ment.
JavaScript,Quelle est la méthode JavaScript utilisée pour ajouter un nouvel élément à la fin d'un tableau ?,La méthode push().
JavaScript,Quelle est la méthode JavaScript utilisée pour parcourir tous les éléments d'un tableau ?,La méthode forEach().
JavaScript,Quelle est la méthode JavaScript utilisée pour supprimer le dernier élément d'un tableau ?,La méthode pop().
HTML,Quelle est la balise utilisée pour définir une section de navigation dans HTML ?,La balise <nav>.
HTML,Quelle est la balise utilisée pour définir une ligne de tableau dans HTML ?,La balise <tr>.
HTML,Quelle est la balise utilisée pour définir une liste déroulante dans HTML ?,La balise <select>.
HTML,Quelle est la balise utilisée pour définir une zone de texte multiligne dans HTML ?,La balise <textarea>.
HTML,Quelle est la balise utilisée pour définir une ligne horizontale dans HTML ?,La balise <hr>.
HTML,Quelle est la balise utilisée pour définir une image rÃ©active dans HTML ?,La balise <picture>.
CSS,Quelle est la propriété CSS utilisée pour définir la hauteur d'un élément ?,La propriété height.
CSS,Quelle est la propriété CSS utilisée pour définir la transparence d'un élément ?,La propriété opacity.
CSS,Quelle est la propriété CSS utilisée pour définir la position d'un élément ?,La propriété position.
CSS,Quelle est la propriété CSS utilisée pour définir l'espacement entre les lignes de texte ?,La propriété line-height.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de l'ombre d'un élément ?,La propriété box-shadow.
JavaScript,Quelle est la méthode JavaScript utilisée pour sélectionner un élément par sa classe dans JavaScript ?,La méthode document.getElementsByClassName().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la taille d'un tableau ?,La propriété length.
JavaScript,Quelle est la méthode JavaScript utilisée pour trier les élément d'un tableau ?,La méthode sort().
JavaScript,Quelle est la méthode JavaScript utilisée pour concaténer deux tableaux ?,La méthode concat().
JavaScript,Quelle est la méthode JavaScript utilisée pour inverser l'ordre des élément d'un tableau ?,La méthode reverse().
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de bordure d'un élément lorsqu'il est survolé par la souris ?,La propriÃ©tÃ© border-color appliquÃ©e Ã  la pseudo-classe :hover.
CSS,Quelle est la propriété CSS utilisée pour définir la largeur d'un élément ?,La propriété width.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de fond d'un élément ?,La propriété background-color.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur du texte d'un élément ?,La propriété color.
CSS,Quelle est la propriété CSS utilisée pour définir l'alignement du contenu d'un élément ?,La propriété text-align.
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la date actuelle ?,La méthode Date().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir le jour du mois actuel ?,La méthode Date().getDate().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir l'annÃ©e actuelle ?,La méthode Date().getFullYear().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir le nombre de millisecondes écoulées depuis le 1er janvier 1970 ?,La mÃ©thode Date().getTime().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir le jour de la semaine actuel ?,La méthode Date().getDay().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir le mois actuel ?,La méthode Date().getMonth().
HTML,Quelle est la balise utilisée pour définir un lien hypertexte dans un document HTML ?,La balise <a>.
HTML,Quelle est la balise utilisée pour définir un titre de niveau 1 dans un document HTML ?,La balise <h1>.
HTML,Quelle est la balise utilisée pour définir une image dans un document HTML ?,La balise <img>.
HTML,Quelle est la balise utilisée pour définir un tableau dans un document HTML ?,La balise <table>.
HTML,Quelle est la balise utilisée pour définir un lien vers une feuille de style CSS externe dans un document HTML ?,La balise <link>.
HTML,Quelle est la balise utilisée pour définir un élément en italique dans un document HTML ?,La balise <i>.
CSS,Quelle est la propriété CSS utilisée pour définir la taille de la police de caractéres ?,La propriété font-size.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de fond d'un élément ?,La propriété background-color.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur du texte d'un élément ?,La propriété color.
CSS,Quelle est la propriété CSS utilisée pour définir la taille d'un élément ?,La propriété width.
CSS,Quelle est la propriété CSS utilisée pour définir la hauteur d'un élément ?,La propriété height.
JavaScript,Quelle est la méthode JavaScript utilisée pour afficher une boite de dialogue avec un message ?,La méthode alert().
JavaScript,Quelle est la méthode JavaScript utilisée pour afficher un message dans la console du navigateur ?,La méthode console.log().
JavaScript,Quelle est la méthode JavaScript utilisée pour rediriger l'utilisateur vers une autre page web ?,La méthode window.location.href().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la taille d'un tableau ?,La propriété length d'un tableau.
JavaScript,Quelle est la méthode JavaScript utilisée pour ajouter un élément à la fin d'un tableau ?,La méthode push().
HTML,Quelle est la balise utilisée pour définir une zone de texte dans un formulaire HTML ?,La balise <textarea>.
HTML,Quelle est la balise utilisée pour définir une liste déroulante dans un formulaire HTML ?,La balise <select>.
HTML,Quelle est la balise utilisée pour définir une case Ã  cocher dans un formulaire HTML ?,La balise <input> avec l'attribut type='checkbox'.
HTML,Quelle est la balise utilisée pour définir un bouton de soumission dans un formulaire HTML ?,La balise <input> avec l'attribut type='submit'.
HTML,Quelle est la balise utilisée pour définir un champ de saisie de mot de passe dans un formulaire HTML ?,La balise <input> avec l'attribut type='password'.
HTML,Quelle est la balise utilisée pour définir une zone de saisie de date dans un formulaire HTML ?,La balise <input> avec l'attribut type='date'.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de bordure d'un élément ?,La propriété border-color.
CSS,Quelle est la propriété CSS utilisée pour définir la taille de la bordure d'un élément ?,La propriété border-width.
CSS,Quelle est la propriété CSS utilisée pour définir l'espacement entre les paragraphes ?,La propriété margin-bottom.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de fond d'un élément lorsqu'il est survolé par la souris ?,La propriété background-color appliquée à la pseudo-classe :hover.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur du texte d'un élément ?,La propriété color.
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir l'heure actuelle ?,La méthode Date().getHours().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir les minutes actuelles ?,La méthode Date().getMinutes().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir les secondes actuelles ?,La méthode Date().getSeconds().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir les millisecondes actuelles ?,La méthode Date().getMilliseconds().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir le jour du mois actuel ?,La méthode Date().getDate().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir l'année actuelle ?,La méthode Date().getFullYear().
HTML,Quelle est la balise utilisée pour définir un en-tête de document dans un document HTML ?,La balise <head>.
HTML,Quelle est la balise utilisée pour définir un lien vers un fichier CSS dans un document HTML ?,La balise <link>.
HTML,Quelle est la balise utilisée pour définir une liste déroulante dans un formulaire HTML ?,La balise <select>.
HTML,Quelle est la balise utilisée pour définir une liste ordonnée dans HTML ?,La balise <ol>.
HTML,Quelle est la balise utilisée pour définir un en-tête de page dans HTML ?,La balise <header>.
HTML,Quelle est la balise utilisée pour définir une section dans HTML ?,La balise <section>.
HTML,Quelle est la balise utilisée pour définir un lien vers une adresse email dans HTML ?,"La balise <a> avec l'attribut href='mailto:'
HTML,Quelle est la balise utilisée pour définir un saut de ligne dans HTML ?,La balise <br>."""
CSS,Quelle est la propriété CSS utilisée pour définir l'espacement entre les lettres d'un texte ?,La propriété letter-spacing.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de fond de toute la page ?,La propriété background-color appliquée à la balise .
CSS,Quelle est la propriété CSS utilisée pour définir la taille minimale d'un élément ?,La propriété min-width.
CSS,Quelle est la propriété CSS utilisée pour définir l'alignement vertical du contenu dans un élément ?,La propriété align-items.
CSS,Quelle est la propriété CSS utilisée pour définir la transformation d'un élément en forme de losange ?,La propriété transform avec la valeur rotate(45deg).
JavaScript,Quelle est la méthode JavaScript utilisée pour récupérer l'heure actuelle ?,La méthode Date().getHours().
JavaScript,Quelle est la méthode JavaScript utilisée pour récupérer le jour de la semaine actuel ?,La méthode Date().getDay().
JavaScript,Quelle est la méthode JavaScript utilisée pour rediriger l'utilisateur vers une autre page web ?,La méthode window.location.replace().
JavaScript,Quelle est la méthode JavaScript utilisée pour afficher une boite de dialogue permettant à l'utilisateur de saisir du texte ?,La méthode prompt().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la longueur d'une chaine de caractéres ?,La propriété length d'une chaine de caractéres.
JavaScript,Quelle est la méthode JavaScript utilisée pour ajouter un élément à la fin d'un tableau ?,La méthode push().
HTML,Quelle est la balise utilisée pour définir une zone de texte dans un formulaire HTML ?,La balise <textarea>.
HTML,Quelle est la balise utilisée pour définir une casen à cocher dans un formulaire HTML ?,La balise <input> avec l'attribut type='checkbox'.
HTML,Quelle est la balise utilisée pour définir un bouton de soumission dans un formulaire HTML ?,La balise <input> avec l'attribut type='submit'.
HTML,Quelle est la balise utilisée pour définir un champ de saisie de mot de passe dans un formulaire HTML ?,La balise <input> avec l'attribut type='password'.
CSS,Quelle est la propriété CSS utilisée pour aligner le texte à gauche dans un élément ?,La propriété text-align.
HTML,Quelle est la balise utilisée pour définir une zone de saisie de date dans un formulaire HTML ?,La balise <input> avec l'attribut type='date'.
CSS,Quelle est la propriété CSS utilisée pour définir la couleur de bordure d'un élément ?,La propriété border-color.
CSS,Quelle est la propriété CSS utilisée pour définir la taille de la bordure d'un élément ?,La propriété border-width.
CSS,Quelle est la propriété CSS utilisée pour définir la police de caractéres d'un élément ?,La propriété font-family.
CSS,Quelle est la propriété CSS utilisée pour aligner le texte à gauche dans un élément ?, 
JavaScript,Quelle est la méthode JavaScript utilisée pour concatÃ©ner deux tableaux ?,La méthode concat().
CSS,Quelle est la propriété CSS utilisée pour définir la visibilité d'un élément ?,La propriété display.
JavaScript,Quelle est la méthode JavaScript utilisée pour sélectionner un élément par sa classe dans JavaScript ?,La méthode document.getElementsByClassName().
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la taille d'un tableau ?,La propriété length d'un tableau.
JavaScript,Quelle est la méthode JavaScript utilisée pour obtenir la taille d'un tableau ?,La propriété length d'un tableau.
JavaScript,Quelle est la méthode JavaScript utilisée pour trier les éléments d'un tableau ?,La méthode sort().
